County,PrecinctName,Registration,PartyName,VoteCount,Priority
DuPAGE,Winfield 8,578,Democrat,6,
DuPAGE,Winfield 8,578,Democrat,1,
DuPAGE,Winfield 8,578,Democrat,13,
DuPAGE,Winfield 8,578,Democrat,6,
DuPAGE,Winfield 8,578,Democrat,0,
DuPAGE,Winfield 8,578,Democrat,0,
DuPAGE,Winfield 8,578,Democrat,11,
DuPAGE,Winfield 8,578,Democrat,19,
DuPAGE,Winfield 8,578,Democrat,7,
DuPAGE,Winfield 8,578,Democrat,3,
DuPAGE,Milton 8,697,Democrat,7,
KANE,DU0034,2818,Republican,0,
KANE,DU0034,2818,Republican,15,
KANE,DU0034,2818,Republican,67,
KANE,DU0004,1854,Republican,0,
KANE,DU0004,1854,Republican,15,
KANE,DU0004,1854,Republican,95,
KANE,DU0026,2069,Republican,0,
KANE,DU0026,2069,Republican,15,
KANE,DU0026,2069,Republican,78,
KANE,SC0002,2044,Republican,0,
KANE,SC0002,2044,Republican,20,
KANE,SC0002,2044,Republican,122,
KANE,SC0011,3204,Republican,0,
KANE,SC0011,3204,Republican,17,
KANE,SC0011,3204,Republican,103,
KANE,DU0035,3872,Republican,0,
KANE,DU0035,3872,Republican,5,
KANE,DU0035,3872,Republican,81,
KANE,DU0027,2030,Republican,0,
KANE,DU0027,2030,Republican,5,
KANE,DU0027,2030,Republican,60,
KANE,DU0028,4403,Republican,0,
KANE,DU0028,4403,Republican,10,
KANE,DU0028,4403,Republican,162,
KANE,EL0015,1574,Republican,0,
KANE,EL0015,1574,Republican,4,
KANE,EL0015,1574,Republican,70,
KANE,SC0031,4405,Republican,0,
KANE,SC0031,4405,Republican,27,
KANE,SC0031,4405,Republican,205,
KANE,RU0001,6638,Republican,0,
KANE,RU0001,6638,Republican,25,
KANE,RU0001,6638,Republican,160,
KANE,SC0029,4341,Republican,0,
KANE,SC0029,4341,Republican,18,
KANE,SC0029,4341,Republican,133,
KANE,SC0026,3271,Republican,0,
KANE,SC0026,3271,Republican,24,
KANE,SC0026,3271,Republican,198,
KANE,RU0006,2709,Republican,0,
KANE,RU0006,2709,Republican,9,
KANE,RU0006,2709,Republican,88,
KANE,SC0016,2594,Republican,0,
